PLAY #,EVENT,SCORE,CLOCK,QTR,HASH,YARD LN,FIELD ZONE,DN,DIST,SITUATION (O),SITUATION (AFTER),PLAY TYPE,RESULT,GN/LS,REDMEN OFF PLAY,OFF PLAY,OPRS,BACKFIELD,REC ALIGNMENT,MOTION,ARRIVE AT MESH,CONCEPT,PLAY FAMILY,PROTECTION,DPRS,DEF FRONT,FRONT TYPE,SHOW,STUNT,DOG,BLITZ,NBR,PRESSURE PATTERN,PSL - MOF,COVERAGE,COVERAGE ADJUST,QUICK,NED,NOSE,TEX,RUSH,END,WILL,OSCAR,MIKE,STAR,ODK
25,SHE-OFF -- MTL-DEF,SHE-10 VS MTL-15,03:35,2,L,-31,OF,2,10,2+LONG,AFTER RUN,Pass,Incomplete,0,,VERTICALS,RAN,GS,41T,AXE,,DROPBACK,,76/77,30 BASE,34,ODD,STING,,OB,,4,3 DOWN -- 4M,,3DC,ROTATE,MTL-97,,MTL-98,,,MTL-94,MTL-19,MTL-02,MTL-52,MTL-05,D
26,SHE-OFF -- MTL-DEF,SHE-10 VS MTL-15,00:17,2,R,44,OF,1,10,P+10,AFTER PUNT,Pass,Complete,8,,ZONE READ,REB,P,32 BUN,,,IZ,2/3 ZAP,,40 BASE,42 EVEN,EVEN,,,,,4,4 DOWN -- 4R,,4,,MTL-94,MTL-89,,MTL-97,MTL-93,,MTL-19,,MTL-02,MTL-05,D
27,SHE-OFF -- MTL-DEF,SHE-10 VS MTL-15,00:09,2,L,36,OF,2,2,2+SHORT,AFTER COMPLETE PASS,Run,Rush,8,,QB COUNTER,RAN,GW,32 BUN,,,GAP,4/5 TRAIN,,40 BASE,42 IN,EVEN,,NT,,,4,4 DOWN -- 4R,,4,,MTL-94,MTL-89,,MTL-97,MTL-93,,MTL-19,,MTL-02,MTL-05,D
28,SHE-OFF -- MTL-DEF,SHE-10 VS MTL-15,12:06,3,L,-45,OF,1,10,P+10,AFTER PUNT,Run,Rush,9,,INSERT,REB,P,41,FLY,,IZ,2/3 STAB,,30 BASE,34,ODD,,NQM,M3,,4,3 DOWN -- 4B,,3DC,HBR,MTL-97,,MTL-98,,,MTL-94,MTL-19,MTL-02,MTL-52,MTL-05,D
29,SHE-OFF -- MTL-DEF,SHE-10 VS MTL-15,11:27,3,L,-53,OF,2,2,2+SHORT,AFTER RUN,Run,Rush,3,,DIRECT SNAP TRICK PLAY,RAN,P,32 BUN,,,IZ,2/3 BOSS,,30 BASE,33 DBL FLEX,ODD,,,MBW2,,5,3 DOWN -- 5M,,,,MTL-97,,MTL-98,,,MTL-94,MTL-02,MTL-19,MTL-52,MTL-05,D
30,SHE-OFF -- MTL-DEF,SHE-10 VS MTL-15,10:41,3,L,54,OF,1,10,C+10,AFTER RUN,Pass,Complete,42,,IZ RPO,REB,P,41,,,IZ,2/3 ZIMBA,,30 BASE,34,ODD,,ST BNG,SCMA,,5,3 DOWN -- 5MF,,3,,MTL-97,,MTL-98,,,MTL-94,MTL-19,MTL-02,MTL-52,MTL-05,D
31,SHE-OFF -- MTL-DEF,SHE-10 VS MTL-15,10:20,3,L,12,GZ,1,10,C+10,AFTER EXPL. PASS,Pass,Penalty,6,,SWITCH,BIG,GW,3T2T,,,DROPBACK,,76/77,30 BASE,34,ODD,,DBL BNG,MCW3,,5,3 DOWN -- 5O,,11,,MTL-97,,MTL-98,,,MTL-94,MTL-19,MTL-02,MTL-52,MTL-05,D
32,SHE-OFF -- MTL-DEF,SHE-10 VS MTL-15,10:10,3,L,6,GZ,1,6,C+GOAL,AFTER PENALTY,Run,Rush,5,,ZONE READ,REB,P,32 BUN,,,IZ,2/3 ZAP,,30 BASE,33 DBL FLEX,ODD,,,MBW2,,5,3 DOWN -- 5M,,10,,MTL-97,,MTL-98,,,MTL-94,MTL-02,MTL-19,MTL-52,MTL-05,D
33,SHE-OFF -- MTL-DEF,SHE-10 VS MTL-15,09:37,3,L,1,RZ,2,1,2+GOAL,AFTER RUN,Run,Rush,0,,QB SNEAK,RAN,P,3T2,,,SNEAK,QB SNEAK,,40 BASE,GAPS,EVEN,,,,,6,4 DOWN -- 6O,,0,,MTL-97,MTL-98,,MTL-95,MTL-94,,MTL-19,,MTL-02,MTL-05,D
34,SHE-OFF -- MTL-DEF,SHE-10 VS MTL-15,08:43,3,L,1,RZ,3,1,3+GOAL,AFTER QB SNEAK,Run,Rush,0,,QB SNEAK,,,,,,SNEAK,QB SNEAK,,40 BASE,GAPS,EVEN,,,,,6,4 DOWN -- 6O,,0,,MTL-97,MTL-98,,MTL-95,MTL-94,,MTL-19,,MTL-02,MTL-05,D
35,SHE-OFF -- MTL-DEF,SHE-10 VS MTL-15,05:16,3,R,-11,BU,1,10,P+10,AFTER PUNT,Pass,Incomplete,0,,PERIMETER 2 PULLERS,RAN,GS,22,,,GAP,8/9 AGGIE,,30 BASE,34,ODD,,DBL BNG,SCW3,,5,3 DOWN -- 5O,,3,,MTL-94,,MTL-98,,,MTL-97,MTL-19,MTL-02,MTL-52,MTL-05,D
36,SHE-OFF -- MTL-DEF,SHE-10 VS MTL-15,04:56,3,R,-11,BU,2,10,2+LONG,AFTER INCOMPLETE PASS,Pass,Incomplete,0,,BOB,REB,GS,32,AXE,,DROPBACK,,60/61,30 BASE,34,ODD,STING,STRIP,MAOB,,5,3 DOWN -- 5M,,3,,MTL-94,,MTL-98,,,MTL-97,MTL-19,MTL-02,MTL-52,MTL-05,D
37,SHE-OFF -- MTL-DEF,SHE-10 VS MTL-17,02:43,3,L,-15,BU,1,10,P+10,AFTER PUNT,Run,Rush,4,,IZ RPO,REB,P,23,,,IZ,2/3 ZIMBA,,30 BASE,34,ODD,,NQM,M3,,4,3 DOWN -- 4B,,3DC,,MTL-98,,MTL-97,,,MTL-94,MTL-19,MTL-02,MTL-52,MTL-05,D
38,SHE-OFF -- MTL-DEF,SHE-10 VS MTL-17,02:10,3,L,-19,BU,2,6,2+MEDIUM,AFTER RUN,Pass,Incomplete,0,,CAPTAIN TRADE,REB,GS,23,AXE,,DROPBACK,,60/61,30 BASE,34,ODD,STING,,,,3,3 DOWN -- 3R,,3DC,,MTL-98,,MTL-89,,,MTL-94,MTL-19,MTL-02,MTL-52,MTL-05,D
39,SHE-OFF -- MTL-DEF,SHE-10 VS MTL-17,00:17,3,R,-15,BU,1,10,P+10,AFTER PUNT,Run,Fumble,5,,PERIMETER 2 PULLERS,RAN,GW,41 BUN,,,GAP,8/9 AGGIE,,30 BASE,34,ODD,,QO,MAO3,,5,3 DOWN -- 5MB,,3DC,HBR,MTL-97,,MTL-89,,,MTL-93,MTL-19,MTL-02,MTL-52,MTL-05,D
40,SHE-OFF -- MTL-DEF,SHE-10 VS MTL-18,14:06,4,L,-35,OF,1,10,P+10,AFTER ROUGE,Pass,Complete,5,,IZ RPO,REB,P,41,FLY,,IZ,2/3 ZIMBA,,30 BASE,34,ODD,,ST BNG,SCMA,,5,3 DOWN -- 5MF,,3,HBR,MTL-54,,MTL-95,,,MTL-93,MTL-19,MTL-02,MTL-52,MTL-05,D
41,SHE-OFF -- MTL-DEF,SHE-10 VS MTL-18,13:23,4,R,-40,OF,2,5,2+MEDIUM,AFTER COMPLETE PASS,Run,Rush,8,,9 CASPER GIVE,REB,GS,41,FLY,,OZ,6/7 SPOOK,,30 BASE,34,ODD,,EM,MC,,4,3 DOWN -- 4F,,3DC,ROTATE,MTL-54,,MTL-95,,,MTL-93,MTL-19,MTL-02,MTL-52,MTL-05,D
42,SHE-OFF -- MTL-DEF,SHE-10 VS MTL-18,12:33,4,L,-48,OF,1,10,C+10,AFTER RUN,Run,Rush,4,,G-SCHEME BACKSIDE,RAN,P,3T1,ZIP,,GAP,4/5 CHARLIE,,30 BASE,33 STACK,ODD,,,,,3,3 DOWN -- 3R,,10,,MTL-54,,MTL-95,,,MTL-93,MTL-19,MTL-02,MTL-52,MTL-21,D
43,SHE-OFF -- MTL-DEF,SHE-10 VS MTL-18,12:02,4,M,-52,OF,2,6,2+MEDIUM,AFTER RUN,Run,Rush,7,,QB COUNTER,RAN,GW,32 BUN,,,GAP,4/5 TRAIN,,30 BASE,34,ODD,,DBL BNG,MCW3,,5,3 DOWN -- 5O,,10,,MTL-54,,MTL-95,,,MTL-93,MTL-19,MTL-02,MTL-52,MTL-05,D
44,SHE-OFF -- MTL-DEF,SHE-10 VS MTL-18,11:12,4,R,51,OF,1,10,C+10,AFTER RUN,Pass,Penalty,-5,,OUTSIDE FLOOD,BIG,P,31T,,,IZ,2/3 WRAP,,30 BASE,33 STACK,ODD,,,,,3,3 DOWN -- 3R,,3,,MTL-54,,MTL-95,,,MTL-93,MTL-19,MTL-02,MTL-52,MTL-21,D
45,SHE-OFF -- MTL-DEF,SHE-10 VS MTL-18,10:46,4,R,-54,OF,1,15,1+VERY LONG,AFTER PENALTY,Pass,"Sack, Fumble",0,,APACHE,RAN,GW,31,BOMBER,,DROPBACK,,74/75,30 BASE,34,ODD,,DBL BNG,SCW3,,5,3 DOWN -- 5O,,3,,MTL-54,,MTL-95,,,MTL-93,MTL-19,MTL-02,MTL-52,MTL-05,D
46,SHE-OFF -- MTL-DEF,SHE-16 VS MTL-18,08:48,4,L,5,RZ,1,5,CONV. 2PTS,AFTER TD,2 Pt.,Good,5,,,RAN,GW,32T,,,DROPBACK,,76/77,30 BASE,34,ODD,,DBL BNG,SCW3,,5,3 DOWN -- 5O,,11,,MTL-54,,MTL-89,,,MTL-94,MTL-19,MTL-02,MTL-52,MTL-05,D
47,SHE-OFF -- MTL-DEF,SHE-18 VS MTL-21,04:47,4,R,-35,OF,1,10,P+10,AFTER FG,Run,Rush,2,,GY COUNTER,RAN,GS,23 BUN,,,GAP,4/5 TRACTOR,,40 BASE,42 EVEN,EVEN,,,,,4,4 DOWN -- 4R,,3DC,,MTL-98,MTL-89,,MTL-97,MTL-94,,MTL-19,,MTL-02,MTL-05,D
48,SHE-OFF -- MTL-DEF,SHE-18 VS MTL-21,04:05,4,R,-37,OF,2,8,2+LONG,AFTER RUN,Pass,Incomplete,0,,CAPTAIN,BIG,GW,31T,,,DROPBACK,,76/77,40 BASE,42 OUT,EVEN,M-MUG,,,,4,4 DOWN -- 4R,,3,,MTL-98,MTL-89,,MTL-97,MTL-94,,MTL-19,,MTL-02,MTL-05,D
49,SHE-OFF -- MTL-DEF,SHE-20 VS MTL-21,02:08,4,L,-35,OF,1,10,P+10,AFTER SAFETY,Run,Rush,-2,,PERIMETER 2 PULLERS,RAN,GW,41 BUN,,,GAP,8/9 TEX,,40 BASE,41 EVEN,EVEN,,,,,4,4 DOWN -- 4R,,3X,ROTATE,MTL-98,MTL-89,,MTL-97,MTL-94,,MTL-19,,MTL-02,MTL-05,D
50,SHE-OFF -- MTL-DEF,SHE-20 VS MTL-21,02:03,4,L,-33,OF,2,12,2+VERY LONG,AFTER RUN,Pass,Incomplete,0,,OUTSIDE FLOOD,RAN,GW,41,FLY,,DROPBACK,,60/61,40 BASE,41 EVEN,EVEN,,NQT,,,4,4 DOWN -- 4R,,4WK X,ROTATE,MTL-98,MTL-89,,MTL-97,MTL-94,,MTL-19,,MTL-02,MTL-05,D
51,SHE-OFF -- MTL-DEF,SHE-20 VS MTL-21,01:04,4,M,-19,BU,1,10,P+10,AFTER PUNT,Run,Fumble,0,,ZONE READ,REB,GS,32 BUN,,,IZ,2/3 ZAP,,40 BASE,41 EVEN,EVEN,,TRN,,,4,4 DOWN -- 4R,,2 MAN,,MTL-93,MTL-95,,MTL-97,MTL-94,,MTL-19,,MTL-02,MTL-05,D
52,SHE-OFF -- MTL-DEF,SHE-20 VS MTL-24,00:05,4,R,-37,OF,1,10,P+10,AFTER FG,Pass,"Complete, Fumble",0,,,REB,GS,23,,,DROPBACK,,60/61,40 BASE,41 OUT,EVEN,,,,,4,4 DOWN -- 4R,,,,MTL-94,MTL-97,,MTL-98,MTL-93,,MTL-19,,MTL-02,MTL-05,D
1,MTL-DEF -- MCG-OFF,MTL-00 VS MCG-00,14:58,1,R,-32,OF,1,10,P+10,AFTER KO - GAME,Pass,Complete,12,(Opp) Tango To Flute L Good Zone W Keep,BLADE,RAN,GW,3T1,TANGO,,IZ,2/3 ZAP,,40 BASE,42 EVEN,EVEN,,,,,4,4 DOWN -- 4R,,4WK SKY,,MTL-99,MTL-98,,MTL-97,MTL-93,,MTL-19,,MTL-02,MTL-05,D
2,MTL-DEF -- MCG-OFF,MTL-00 VS MCG-00,14:15,1,R,-44,OF,1,10,C+10,AFTER COMPLETE PASS,Pass,Complete,13,H To Dehli L Flip Bad Blast W Float,BRAVE,REB,GS,22,TRIAD,,IZ,2/3 WHAM,,40 BASE,43 EVEN,EVEN,,,,,4,4 DOWN -- 4R,,10,,MTL-99,MTL-98,,MTL-97,MTL-93,,MTL-19,,MTL-02,MTL-05,D
3,MTL-DEF -- MCG-OFF,MTL-00 VS MCG-00,13:45,1,R,53,OF,1,10,C+10,AFTER COMPLETE PASS,Run,Rush,8,HW To Thetford L Good Blast,,REB,GW,31,FLY,,IZ,2/3 WHAM,,40 BASE,42 EVEN,EVEN,,,,,4,4 DOWN -- 4R,,10,HBR,MTL-99,MTL-98,,MTL-97,MTL-93,,MTL-19,,MTL-02,MTL-05,D
4,MTL-DEF -- MCG-OFF,MTL-00 VS MCG-00,13:15,1,R,45,OF,2,2,2+SHORT,AFTER RUN,Pass,Complete,30,(Opp) Trashers L Good Crash H Keep,,BIG,P,2T1,,,OZ,,6/7 BOOT,40 BASE,GAPS,EVEN,,,SCW3,,6,4 DOWN -- 6O,,0,,MTL-99,MTL-98,,MTL-97,MTL-94,,MTL-19,,MTL-02,MTL-05,D
5,MTL-DEF -- MCG-OFF,MTL-00 VS MCG-00,12:45,1,R,15,GZ,1,10,C+10,AFTER EXPL. PASS,Pass,Incomplete,0,Cessna L Sarah W Nod,DOUBLE MOVE,REB,GW,32T,,,DROPBACK,,76/77,40 BASE,42 EVEN,EVEN,,,SAW1,,6,4 DOWN -- 6M,,1,,MTL-99,MTL-98,,MTL-97,MTL-94,,MTL-19,,MTL-02,MTL-05,D
6,MTL-DEF -- MCG-OFF,MTL-00 VS MCG-00,12:15,1,R,15,GZ,2,10,2+LONG,AFTER INCOMPLETE PASS,Pass,Incomplete,0,H To Four L W Skin Storm T Branch,BRAVE,REB,GW,41,TANGO,,DROPBACK,,SCAT 50/51,40 BASE,42 EVEN,EVEN,,,,,4,4 DOWN -- 4R,,3X,ROTATE,MTL-99,MTL-98,,MTL-97,MTL-94,,MTL-19,,MTL-02,MTL-05,D
7,MTL-DEF -- MCG-OFF,MTL-00 VS MCG-03,10:38,1,R,-49,OF,1,10,P+10,AFTER PUNT,Pass,Penalty,0,T To Cash L Winter Lotto,HIGH LOW,REB,GS,32,,,DROPBACK,,60/61,40 BASE,42 EVEN,EVEN,,,,,4,4 DOWN -- 4R,,11,,MTL-99,MTL-98,,MTL-97,MTL-94,,MTL-19,,MTL-02,MTL-05,D
8,MTL-DEF -- MCG-OFF,MTL-00 VS MCG-03,10:12,1,R,-49,OF,1,10,C+10,AFTER PENALTY,Pass,Scramble,0,H To Delhi L Watch Race,VERTICALS,REB,GS,22,,,DROPBACK,,74/75,40 BASE,43 EVEN,EVEN,,,,,4,4 DOWN -- 4R,,11,,MTL-99,MTL-98,,MTL-97,MTL-94,,MTL-19,,MTL-02,MTL-05,D
9,MTL-DEF -- MCG-OFF,MTL-00 VS MCG-03,09:50,1,R,-49,OF,2,10,2+LONG,AFTER QB SCRAMBLE,Pass,Incomplete,0,TW To Cash L Warrior W Branch,COUCH,REB,GS,32,FLY,,DROPBACK,,60/61,30 BASE,34,ODD,,,,,3,3 DOWN -- 3R,,2 MAN,,MTL-99,,MTL-98,,,MTL-94,MTL-19,MTL-02,MTL-05,MTL-21,D
10,MTL-DEF -- MCG-OFF,MTL-00 VS MCG-05,08:13,1,M,-35,OF,1,10,P+10,AFTER SAFETY,Run,Rush,14,Thetford L Good Blast X Drift Alt Good Blast,,REB,GS,13,,,IZ,2/3 WHAM,,40 BASE,43 EVEN,EVEN,,,,,4,4 DOWN -- 4R,,3DC,,MTL-99,MTL-98,,MTL-97,MTL-94,,MTL-19,,MTL-02,MTL-05,D
11,MTL-DEF -- MCG-OFF,MTL-00 VS MCG-05,07:36,1,L,-49,OF,1,10,C+10,AFTER EXPL. RUN,Run,Rush,3,TH To Cessna L Bad Blast,,REB,GS,31,FLOAT,,IZ,2/3 WHAM,,40 BASE,42 EVEN,EVEN,,,,,4,4 DOWN -- 4R,,11,,MTL-99,MTL-98,,MTL-97,MTL-94,,MTL-19,,MTL-02,MTL-05,D
12,MTL-DEF -- MCG-OFF,MTL-00 VS MCG-05,07:00,1,L,-51,OF,2,7,2+LONG,AFTER RUN,Pass,Sack,-2,Cash L Summer Smash Alt Sammy Blade,CORNER,REB,GW,32,,,DROPBACK,,60/61,30 BASE,34,ODD,,,,,3,3 DOWN -- 3R,,3CW,,MTL-99,,MTL-97,,,MTL-94,MTL-19,MTL-02,MTL-05,MTL-21,D
13,MTL-DEF -- MCG-OFF,MTL-00 VS MCG-05,03:03,1,R,-7,BU,1,10,P+10,AFTER PUNT,Pass,Incomplete,0,Fish L Samurai Indi Alt Good Zone,X-COMEBACK,REB,GW,41,,,DROPBACK,,60/61,40 BASE,42 EVEN,EVEN,,NET,,,4,4 DOWN -- 4R,,3X,,MTL-94,MTL-95,,MTL-89,MTL-49,,MTL-19,,MTL-02,MTL-05,D
14,MTL-DEF -- MCG-OFF,MTL-00 VS MCG-05,02:43,1,R,-7,BU,2,10,2+LONG,AFTER INCOMPLETE PASS,Pass,Penalty,10,Cash L Warrior W Level,BRAVE,REB,GS,32,,,DROPBACK,,60/61,40 BASE,41 EVEN,EVEN,STING,,,,4,4 DOWN -- 4R,,3DC,,MTL-94,MTL-95,,MTL-89,MTL-49,,MTL-19,,MTL-02,MTL-05,D
15,MTL-DEF -- MCG-OFF,MTL-00 VS MCG-05,02:18,1,R,-17,BU,1,10,C+10,AFTER PENALTY,Run,Rush,6,Four L Good Zone,,REB,GW,41,,,IZ,2/3 ZAP,,40 BASE,42 EVEN,EVEN,,,MAW1,,6,4 DOWN -- 6M,,0,,MTL-94,MTL-95,,MTL-89,MTL-49,,MTL-19,,MTL-02,MTL-05,D
16,MTL-DEF -- MCG-OFF,MTL-00 VS MCG-05,01:53,1,R,-23,OF,2,4,2+MEDIUM,AFTER RUN,Pass,Incomplete,0,Cash L Samurai H Stick,STICK,REB,GW,32,,,DROPBACK,,60/61,30 BASE,33 DBL FLEX,ODD,,,,,3,3 DOWN -- 3R,,3DC,,MTL-94,,MTL-89,,,MTL-49,MTL-02,MTL-19,MTL-05,MTL-21,D
17,MTL-DEF -- MCG-OFF,MTL-07 VS MCG-05,14:37,2,R,-26,OF,1,10,P+10,AFTER KO - TD,Run,Rush,3,Cash L Bad Coutner,,REB,GS,32,,,GAP,4/5 TRAIN,,40 BASE,42 UNDER G,EVEN,,,,,4,4 DOWN -- 4R,,3DC,,MTL-99,MTL-95,,MTL-98,MTL-49,,MTL-19,,MTL-02,MTL-05,D
18,MTL-DEF -- MCG-OFF,MTL-07 VS MCG-05,14:04,2,R,-29,OF,2,7,2+LONG,AFTER RUN,,Penalty,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D
19,MTL-DEF -- MCG-OFF,MTL-07 VS MCG-05,13:30,2,R,-24,OF,2,12,2+VERY LONG,AFTER PENALTY,Pass,Sack,-7,W To Cash L Scan Race,VERTICALS,REB,GW,32,FLY,,DROPBACK,,74/75,30 BASE,34,ODD,,,,QB SPY,3,3 DOWN -- 3R,,4,,MTL-99,,MTL-98,,,MTL-49,MTL-19,MTL-02,MTL-05,MTL-21,D
20,MTL-DEF -- MCG-OFF,MTL-09 VS MCG-05,10:49,2,R,-25,OF,1,10,P+10,AFTER PUNT,Run,Rush,0,Four L Samurai Indi Alt Good Zone,,REB,GW,41,,,IZ,2/3 ZAP,,40 BASE,42 OUT,EVEN,,,,,4,4 DOWN -- 4R,,3X,,MTL-98,MTL-89,,MTL-97,MTL-94,,MTL-19,,MTL-02,MTL-05,D
21,MTL-DEF -- MCG-OFF,MTL-09 VS MCG-05,10:14,2,R,-25,OF,2,10,2+LONG,AFTER RUN,Pass,Complete,14,W To Four L Tiger Squeeze Storm X Branch,COUCH,REB,,42,FLY,,DROPBACK,,SCAT 50/51,30 BASE,34,ODD,,,,QB SPY,3,3 DOWN -- 3R,,2 MAN,,MTL-98,,MTL-97,,,MTL-94,MTL-19,MTL-02,MTL-05,MTL-21,D
22,MTL-DEF -- MCG-OFF,MTL-09 VS MCG-05,09:56,2,R,-39,OF,1,10,C+10,AFTER COMPLETE PASS,Pass,Incomplete,0,H To Cash L Summer Smash,CORNER,REB,GW,32,FLY,,DROPBACK,,60/61,40 BASE,42 OUT,EVEN,,TR,,,4,4 DOWN -- 4R,,11,,MTL-98,MTL-89,,MTL-97,MTL-94,,MTL-19,,MTL-02,MTL-05,D
23,MTL-DEF -- MCG-OFF,MTL-09 VS MCG-05,09:30,2,R,-38,OF,2,10,2+LONG,AFTER INCOMPLETE PASS,Pass,Sack,-5,Cash L Winter LOTTO,HIGH LOW,REB,GS,32,,,DROPBACK,,60/61,40 BASE,41 EVEN,EVEN,,BULLY,SCMAW3,,7,4 DOWN -- 7MO,,0,,MTL-98,MTL-89,,MTL-97,MTL-94,,MTL-19,,MTL-02,MTL-05,D
24,MTL-DEF -- MCG-OFF,MTL-16 VS MCG-05,04:50,2,L,-23,OF,1,10,P+10,AFTER KO - TD,Pass,Complete,11,Cardi L H Motion Bad Blast Y Float,BRAVE,REB,GS,22,FLOAT,,IZ,,POP 2/3 WHAM,40 BASE,42 UNDER G,EVEN,,,,,4,4 DOWN -- 4R,,11,,MTL-98,MTL-89,,MTL-97,MTL-94,,MTL-19,,MTL-02,MTL-05,D
25,MTL-DEF -- MCG-OFF,MTL-16 VS MCG-05,04:14,2,M,-34,OF,1,10,C+10,AFTER COMPLETE PASS,Pass,Incomplete,0,W To Cash L Tiger Wave Race X Spot,HIGH LOW,REB,,42,FLY,,DROPBACK,,50/51,40 BASE,42 OVER G,EVEN,,,,,4,4 DOWN -- 4R,,3,,MTL-98,MTL-89,,MTL-97,MTL-94,,MTL-19,,MTL-02,MTL-05,D
26,MTL-DEF -- MCG-OFF,MTL-16 VS MCG-05,03:52,2,M,-35,OF,2,10,2+LONG,AFTER INCOMPLETE PASS,Pass,Penalty,-5,TH To Cessna L Squeeze Sarah Y Knife,,REB,GW,31,,,DROPBACK,,76/77,40 BASE,41 EVEN,EVEN,STING,BULLY,SCMAW3,,7,4 DOWN -- 7MO,,0,,MTL-98,MTL-89,,MTL-97,MTL-94,,MTL-19,,MTL-02,MTL-05,D
27,MTL-DEF -- MCG-OFF,MTL-16 VS MCG-05,03:34,2,M,-30,OF,2,15,2+VERY LONG,AFTER PENALTY,Pass,Sack,-8,Cash L Summer W Jerk Alt Good Draw,DUPLEX,REB,GW,32,,,DROPBACK,,60/61,40 BASE,41 EVEN,EVEN,STING,BULLY,SCMAW3,,7,4 DOWN -- 7MO,,0,,MTL-98,MTL-89,,MTL-97,MTL-94,,MTL-19,,MTL-02,MTL-05,D
28,MTL-DEF -- MCG-OFF,MTL-19 VS MCG-05,01:01,2,M,-35,OF,1,10,P+10,AFTER ROUGE,Run,Rush,3,Four L Samurai Indi Alt Good Zone,,REB,GW,41,,,IZ,2/3 ZAP,,40 BASE,42 OUT,EVEN,,,,,4,4 DOWN -- 4R,,3CSX,,MTL-49,MTL-98,,MTL-95,MTL-99,,MTL-19,,MTL-02,MTL-05,D
29,MTL-DEF -- MCG-OFF,MTL-19 VS MCG-05,00:50,2,L,-38,OF,2,7,2+LONG,AFTER RUN,Pass,Sack,-9,Cash L Winter W BRANCH,BLADE,REB,GS,32,,,DROPBACK,,60/61,40 BASE,42 OVER G,EVEN,,,,,4,4 DOWN -- 4R,,4WK SKY,,MTL-99,MTL-98,,MTL-95,MTL-49,,MTL-19,,MTL-02,MTL-05,D
30,MTL-DEF -- MCG-OFF,MTL-26 VS MCG-05,11:46,3,R,-50,OF,1,10,P+10,AFTER KO - TD,Run,Rush,13,Cash L Good Zone,,REB,GW,32,,,IZ,2/3 ZAP,,40 BASE,42 OVER G,EVEN,,,,,4,4 DOWN -- 4R,,3,,MTL-94,MTL-98,,MTL-97,MTL-99,,MTL-19,,MTL-02,MTL-05,D
31,MTL-DEF -- MCG-OFF,MTL-26 VS MCG-05,11:16,3,M,47,OF,1,10,C+10,AFTER EXPL. RUN,Pass,Complete,15,Cash L Samurai H Stick,STICK,REB,GW,32,,,DROPBACK,,60/61,40 BASE,42 OUT,EVEN,,,,,4,4 DOWN -- 4R,,3DC,,MTL-94,MTL-98,,MTL-97,MTL-99,,MTL-19,,MTL-02,MTL-05,D
32,MTL-DEF -- MCG-OFF,MTL-26 VS MCG-05,10:46,3,L,32,FZ,1,10,C+10,AFTER COMPLETE PASS,Run,Rush,2,Four L Good Zone,,REB,GW,41,,,IZ,2/3 ZAP,,40 BASE,42 EVEN,EVEN,,NT,,,4,4 DOWN -- 4R,,11,HBR,MTL-94,MTL-98,,MTL-97,MTL-99,,MTL-19,,MTL-02,MTL-05,D
33,MTL-DEF -- MCG-OFF,MTL-26 VS MCG-05,10:16,3,L,30,FZ,2,8,2+LONG,AFTER RUN,Pass,Incomplete,0,Thetford L Good Blast Alt X Drift,,REB,GW,31,,,IZ,,POP 2/3 WHAM,40 BASE,41 EVEN,EVEN,STING,,,,4,4 DOWN -- 4R,,3CSX,,MTL-94,MTL-98,,MTL-97,MTL-99,,MTL-19,,MTL-02,MTL-05,D
34,MTL-DEF -- MCG-OFF,MTL-29 VS MCG-06,06:01,3,M,-35,OF,1,10,P+10,AFTER FG,Pass,Incomplete,0,H To Cash L Good Blast W Float,,REB,GS,23,FLY,,IZ,,POP 2/3 WHAM,30 BASE,34,ODD,M-MUG O-MUG,DBL BNG,SCW3,,5,3 DOWN -- 5O,,3,,MTL-99,,MTL-94,,,MTL-49,MTL-19,MTL-02,MTL-05,MTL-21,D
35,MTL-DEF -- MCG-OFF,MTL-29 VS MCG-06,05:30,3,M,-35,OF,2,10,2+LONG,AFTER INCOMPLETE PASS,Pass,Sack,-7,TH To Cessna L Samurai W Stick,STICK,REB,GS,13,,,DROPBACK,,60/61,30 BASE,34,ODD,O-MUG,STRIP,MAOB,,5,3 DOWN -- 5M,,3,,MTL-99,,MTL-94,,,MTL-49,MTL-19,MTL-02,MTL-05,MTL-21,D
36,MTL-DEF -- MCG-OFF,MTL-29 VS MCG-06,02:55,3,L,-20,OF,1,10,P+10,AFTER PUNT,Pass,Penalty,20,Cessna L Squeeze SARAH Y KNIFE,BOB,REB,GW,31,,,DROPBACK,,76/77,30 BASE,33 DBL FLEX,ODD,O-MUG M-FLEX,,O1W2,,5,3 DOWN -- 5M,,10,,MTL-99,,MTL-89,,,MTL-97,MTL-02,MTL-19,MTL-05,MTL-21,D
37,MTL-DEF -- MCG-OFF,MTL-29 VS MCG-06,02:38,3,M,-40,OF,1,10,C+10,AFTER PENALTY,Pass,Complete,13,Four L Storm T Branch Alt Trade Willy,TRIPLEX,REB,GW,41,,,DROPBACK,,SCAT 50/51,30 BASE,34,ODD,,DBL BNG,SCW3,,5,3 DOWN -- 5O,,3,,MTL-99,,MTL-89,,,MTL-97,MTL-19,MTL-02,MTL-05,MTL-21,D
